Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
Peepli Live,47.0,30.0,40.0,6.0,12.0,Hit
Paa,46.0,30.0,40.0,6.0,18.0,Hit
Jism 2,42.0,30.0,40.0,1.0,11.0,Hit
Ittefaq,51.0,30.0,38.0,12.0,20.0,Average
Dum Laga Ke Haisha,42.0,30.0,40.0,2.0,12.0,Hit
Thor: Love And Thunder,5550.0,29.0,127.0,3050.0,1900.0,Hit
Golmaal: Fun Unlimited,46.0,29.0,39.0,6.0,11.0,SuperHit
Mausam,52.0,29.0,39.0,12.0,45.0,Flop
Shootout at Lokhandwala,44.0,29.0,39.0,4.0,17.0,Above Average
Tashan,51.0,29.0,39.0,11.0,31.0,Average
Chandni Chowk to China,53.0,29.0,37.0,15.0,65.0,Disaster
Mujhse Shaadi Karogi,55.0,29.0,39.0,16.0,19.0,Hit
Guzaarish,53.0,29.0,39.0,14.0,55.0,Disaster
Action Replayy,48.0,29.0,39.0,8.0,55.0,Flop
Garam Masala,54.0,29.0,39.0,15.0,17.0,Hit
Lootera,46.0,29.0,39.0,7.0,30.0,Flop
Dil Toh Baccha Hai Ji,40.0,28.0,39.0,1.0,27.0,Below Average
Ferrari Ki Sawaari,44.0,28.0,37.0,6.0,15.0,Hit
Happy Bhaag Jayegi,46.0,28.0,40.0,6.0,20.0,Hit
Akira,43.0,28.0,38.0,5.0,30.0,Flop
Pari,39.0,28.0,36.0,2.0,30.0,Above Average
Players,47.0,28.0,38.0,8.0,55.0,Disaster
London Dreams,45.0,28.0,38.0,6.0,45.0,Flop
PM Narendra Modi,35.0,28.0,33.0,1.0,20.0,Above Average
Doctor Strange In The Multiverse Of Madness,5400.0,28.0,147.0,3100.0,1500.0,Average
Ishqiya,39.0,28.0,38.0,1.0,18.0,Hit
Baazaar,40.0,28.0,36.0,4.0,35.0,Below Average
Kyaa Kool Hain Hum 3,38.0,28.0,36.0,1.0,25.0,Average
No Problem,44.0,27.0,37.0,6.0,35.0,Flop
Manmarziyaan,41.0,27.0,35.0,6.0,30.0,Flop
Wake Up Sid,47.0,27.0,36.0,11.0,18.0,Hit
No One Killed Jessica,43.0,27.0,37.0,6.0,15.0,Hit
Mangal Pandey: The Rising,51.0,27.0,37.0,13.0,34.0,Flop
Sanam Re,39.0,27.0,37.0,1.0,25.0,Average
Panga,40.0,27.0,32.0,8.0,49.0,Flop
Dedh Ishqiya,43.0,27.0,36.0,6.0,35.0,Flop
Sarbjit,41.0,27.0,36.0,4.0,30.0,Flop
Force,40.0,27.0,36.0,3.0,28.0,Flop
Jhoom Barabar Jhoom,48.0,27.0,36.0,11.0,25.0,Below Average
Detective Byomkesh Bakshy,43.0,26.0,36.0,7.0,35.0,Flop
Malamaal Weekly,41.0,26.0,36.0,5.0,6.0,SuperHit
Raja Natwarlal,44.0,26.0,35.0,8.0,45.0,Disaster
Singh Saab The Great,38.0,26.0,35.0,2.0,35.0,Flop
Fashion,38.0,26.0,35.0,3.0,18.0,Above Average
The Hero: Love Story of a Spy,44.0,26.0,40.0,3.0,33.0,Below Average
Salaam Namaste,55.0,26.0,35.0,20.0,10.0,Hit
Khakee,45.0,25.0,34.0,10.0,26.0,Average
Karan Arjun,36.0,25.0,34.0,2.0,6.0,Blockbuster
Karthik Calling Karthik,38.0,25.0,34.0,3.0,20.0,Below Average
Raabta,39.0,25.0,35.0,3.0,45.0,Flop
Biwi No.1,49.0,25.0,43.0,6.0,12.0,SuperHit
Maine Pyaar Kyun Kiya?,45.0,25.0,35.0,10.0,15.0,Above Average
Ek Thi Daayan,40.0,25.0,34.0,5.0,24.0,Below Average
Teri Meri Kahaani,51.0,25.0,34.0,17.0,35.0,Flop
Raaz-The Mystery Continues 2009,36.0,25.0,32.0,3.0,15.0,Hit
Jazbaa,42.0,25.0,34.0,8.0,28.0,Flop
Rock On!!,35.0,25.0,33.0,1.0,16.0,Hit
Commando 2,39.0,25.0,33.0,5.0,26.0,Flop
Rocky Handsome,35.0,25.0,33.0,1.0,40.0,Flop
Go Goa Gone,38.0,24.0,33.0,4.0,19.0,Flop
Jaan-E-Mann,45.0,24.0,33.0,12.0,25.0,Below Average
Ishq,45.0,24.0,42.0,2.0,11.0,SuperHit
Junglee,32.0,24.0,29.0,3.0,50.0,Flop
Hum Dil De Chuke Sanam,51.0,24.0,33.0,17.0,16.0,Hit
Sarkar,38.0,24.0,33.0,4.0,13.0,Above Average
Katti Batti,42.0,24.0,33.0,9.0,30.0,Flop
Mr. X,37.0,24.0,33.0,3.0,35.0,Flop
Khoobsurat,53.0,24.0,33.0,20.0,18.0,Average
Indian,41.0,24.0,40.0,1.0,13.0,Hit
Enthiran,291.0,24.0,216.0,75.0,132.0,All Time Blockbuster
D Day,39.0,23.0,32.0,7.0,26.0,Flop
Bombay Velvet,43.0,23.0,31.0,11.0,115.0,Disaster
Saand Ki Aankh,31.0,23.0,28.0,3.0,20.0,Above Average
Bhoothnath,37.0,23.0,31.0,5.0,20.0,Average
OK Jaanu,39.0,23.0,32.0,6.0,27.0,Flop
Lakshya,40.0,23.0,32.0,7.0,30.0,Flop
Dil Bole Hadippa!,43.0,23.0,31.0,11.0,25.0,Flop
Thackeray,50.0,23.0,46.0,4.0,40.0,Above Average
Dus,37.0,23.0,31.0,6.0,21.0,Average
Omkara,41.0,23.0,31.0,10.0,25.0,Flop
Black,39.0,23.0,32.0,7.0,20.0,Average
Munna Bhai M.B.B.S.,34.0,22.0,31.0,3.0,10.0,Hit
Ponniyin Selvan - Part 1,488.0,22.0,313.0,175.0,250.0,All Time Blockbuster
36 China Town,36.0,22.0,30.0,5.0,18.0,Above Average
Mission Kashmir,42.0,22.0,37.0,4.0,20.0,Average
Salaam-e-Ishq: A Tribute to Love,51.0,22.0,31.0,20.0,35.0,Disaster
Pardes,40.0,22.0,34.0,6.0,8.0,SuperHit
Billu,46.0,22.0,29.0,16.0,24.0,Below Average
Kismat Konnection,37.0,22.0,30.0,7.0,25.0,Flop
Mere Baap Pehle Aap,35.0,22.0,30.0,5.0,18.0,Below Average
Joker,32.0,22.0,30.0,1.0,47.0,Disaster
Murder 3,33.0,22.0,30.0,2.0,15.0,Below Average
Ek Ladki Ko Dekha Toh Aisa Laga,44.0,22.0,26.0,18.0,50.0,Flop
Mrs Chatterjee Vs Norway,37.0,22.0,26.0,11.0,20.0,Hit
Saawariya,39.0,22.0,27.0,12.0,45.0,Disaster
Shamitabh,37.0,22.0,30.0,7.0,40.0,Disaster
Hate Story 4,31.0,22.0,29.0,2.0,15.0,Hit
Taal,50.0,22.0,34.0,15.0,15.0,Hit
Aurangzeb,34.0,22.0,29.0,5.0,22.0,Flop
Happy Phirr Bhag Jayegi,31.0,21.0,28.0,3.0,30.0,Flop
Roohi,28.0,21.0,25.0,3.0,25.0,Average
Apne,38.0,21.0,29.0,9.0,18.0,Average
Gangs Of Wasseypur 2,31.0,21.0,29.0,2.0,18.0,Flop
Black Panther: Wakanda Forever,6634.0,21.0,87.0,6546.0,1250.0,Hit
Nautanki Saala,32.0,21.0,29.0,3.0,15.0,Average
Pyaar To Hona Hi Tha,31.0,21.0,29.0,1.0,7.0,SuperHit
Heropanti 2,28.0,21.0,25.0,2.0,80.0,Disaster
Hum Tum,41.0,21.0,30.0,11.0,8.0,Hit
Soldier,37.0,21.0,35.0,2.0,8.0,SuperHit
Mulk,30.0,20.0,27.0,3.0,18.0,Above Average
Baghban,43.0,20.0,28.0,14.0,12.0,Hit
Luck,33.0,20.0,28.0,5.0,35.0,Flop
Rangoon,39.0,20.0,28.0,11.0,60.0,Disaster
U Me Aur Hum,39.0,20.0,27.0,11.0,25.0,Flop
A Gentleman,38.0,20.0,28.0,9.0,65.0,Disaster
Jersey,26.0,20.0,22.0,3.0,60.0,Disaster
Life Partner,32.0,20.0,27.0,4.0,19.0,Below Average
Blackmail,30.0,20.0,27.0,3.0,20.0,Above Average
Karwaan,29.0,20.0,26.0,3.0,20.0,Average
The Ghazi Attack,34.0,20.0,27.0,7.0,16.0,Average
Dil Chahta Hai,38.0,20.0,32.0,6.0,13.0,Above Average
Rocket Singh: Salesman of the Year,33.0,20.0,26.0,7.0,16.0,Above Average
Kaante,41.0,20.0,32.0,9.0,28.0,Below Average
Masti,34.0,20.0,27.0,6.0,10.0,Hit
Waqt: The Race Against Time,42.0,20.0,29.0,13.0,16.0,Average
The Accidental Prime Minister,26.0,20.0,24.0,2.0,25.0,Flop
The Sky Is Pink,28.0,20.0,23.0,5.0,24.0,Flop
Kidnap,33.0,20.0,27.0,6.0,27.0,Flop
Raja,33.0,20.0,32.0,1.0,4.0,Blockbuster
The Lunchbox,100.0,20.0,27.0,73.0,22.0,Average
Sunday,31.0,20.0,27.0,4.0,20.0,Below Average
Hulchul,31.0,20.0,28.0,3.0,10.0,Hit
Tere Naal Love Ho Gaya,31.0,19.0,26.0,4.0,13.0,Average
Badhaai Do,23.0,19.0,20.0,3.0,30.0,Disaster
Taxi No. 9211,31.0,19.0,26.0,5.0,10.0,Above Average
Krazzy 4,31.0,19.0,26.0,5.0,16.0,Average
Chance Pe Dance,29.0,19.0,26.0,3.0,26.0,Flop
Radhe Shyam,144.0,19.0,117.0,26.0,350.0,Disaster
Ungli,29.0,19.0,26.0,3.0,35.0,Disaster
Fitoor,39.0,19.0,26.0,13.0,70.0,Disaster
Chalte Chalte,40.0,19.0,26.0,14.0,11.0,Hit
Alone,29.0,19.0,25.0,3.0,18.0,Below Average
Te3n,33.0,19.0,25.0,8.0,34.0,Flop
Dolly Ki Doli,28.0,19.0,25.0,2.0,18.0,Below Average
Bade Miyan Chote Miyan,35.0,19.0,32.0,2.0,10.0,Hit
Barsaat,33.0,19.0,32.0,1.0,8.0,SuperHit
Kaal,32.0,18.0,25.0,6.0,11.0,Average
Dulhan Hum Le Jayenge,36.0,18.0,31.0,5.0,11.0,Hit
Jabariya Jodi,25.0,18.0,22.0,3.0,30.0,Flop
Hum Kisise Kum Nahin,29.0,18.0,26.0,2.0,18.0,Below Average
Sarfarosh,29.0,18.0,25.0,4.0,8.0,Hit
Jodi No.1,34.0,18.0,31.0,2.0,10.0,Hit
Liger,56.0,18.0,48.0,7.0,125.0,Disaster
Chori Chori Chupke Chupke,37.0,18.0,31.0,6.0,10.0,Hit
Madaari,28.0,18.0,24.0,4.0,20.0,Flop
Bluffmaster!,31.0,18.0,24.0,7.0,8.0,Above Average
Gupt: The Hidden Truth,33.0,18.0,31.0,1.0,9.0,Hit
Pyaar Kiya To Darna Kya,33.0,18.0,25.0,8.0,8.0,SuperHit
Jayeshbhai Jordaar,17.0,17.0,21.0,3.0,1.0,Disaster
Josh,34.0,17.0,28.0,5.0,15.0,Average
Fool n Final,27.0,17.0,23.0,3.0,23.0,Flop
Main Prem Ki Diwani Hoon,38.0,17.0,27.0,11.0,21.0,Flop
Creature,25.0,17.0,23.0,1.0,25.0,Flop
Break Ke Baad,29.0,17.0,23.0,5.0,19.0,Flop
Aankhen,29.0,17.0,23.0,5.0,15.0,Average
7 Khoon Maaf,27.0,17.0,23.0,3.0,21.0,Flop
Qayamat: City Under Threat,28.0,17.0,23.0,4.0,16.0,Average
Attack - Part 1,22.0,17.0,18.0,3.0,55.0,Flop
Laaga Chunari Mein Daag,35.0,17.0,23.0,12.0,15.0,Below Average
Baabul,38.0,17.0,23.0,15.0,22.0,Flop
Mujhe Kucch Kehna Hai,29.0,17.0,28.0,1.0,7.0,SuperHit
Cheeni Kum,31.0,17.0,23.0,8.0,11.0,Above Average
Band Baaja Baaraat,30.0,17.0,23.0,6.0,13.0,Average
Ajnabee,31.0,17.0,23.0,8.0,17.0,Average
Selfiee,24.0,17.0,20.0,4.0,100.0,Disaster
Aiyaary,30.0,17.0,21.0,8.0,65.0,Flop
Refugee,34.0,17.0,27.0,6.0,14.0,Average
Section 375,22.0,17.0,20.0,2.0,20.0,Below Average
Bewafaa,30.0,16.0,22.0,7.0,18.0,Average
Hum Aapke Dil Mein Rehte Hain,36.0,16.0,28.0,7.0,6.0,SuperHit
Qarib Qarib Singlle,24.0,16.0,22.0,1.0,15.0,Average
Yuvvraaj,28.0,16.0,22.0,6.0,45.0,Disaster
Do Knot Disturb,27.0,16.0,22.0,5.0,28.0,Flop
Parineeta,30.0,16.0,22.0,7.0,16.0,Below Average
Mumbai Saga,22.0,16.0,19.0,2.0,40.0,Flop
Jeet,28.0,16.0,27.0,1.0,6.0,SuperHit
Humraaz,28.0,16.0,26.0,2.0,14.0,Average
Awara Paagal Deewana,27.0,16.0,21.0,5.0,13.0,Average
Kachche Dhaage,28.0,16.0,27.0,1.0,10.0,Hit
Swades,33.0,16.0,22.0,11.0,20.0,Flop
1921,22.0,15.0,20.0,2.0,15.0,Above Average
Andaaz,28.0,15.0,21.0,7.0,8.0,Hit
All Is Well,23.0,15.0,21.0,1.0,28.0,Flop
Dhol,23.0,15.0,21.0,1.0,14.0,Average
Zilla Ghaziabad,22.0,15.0,21.0,1.0,34.0,Flop
Lajja,33.0,15.0,25.0,7.0,20.0,Flop
Life in a Metro,24.0,15.0,21.0,3.0,8.0,Above Average
Aitraaz,26.0,15.0,21.0,5.0,11.0,Average
Ponniyin Selvan - Part 2,319.0,15.0,200.0,119.0,1.0,Hit
Sholay,50.0,15.0,35.0,15.0,3.0,All Time Blockbuster
1920 London,22.0,15.0,20.0,2.0,15.0,Below Average
8 x 10 Tasveer,23.0,15.0,20.0,2.0,35.0,Disaster
Tezz,26.0,15.0,20.0,5.0,52.0,Disaster
Har Dil Jo Pyar Karega,32.0,15.0,25.0,6.0,13.0,Average
Deewane Huye Paagal,26.0,15.0,20.0,6.0,20.0,Flop
Tere Naam,24.0,15.0,19.0,4.0,12.0,Average
Saathiya,28.0,15.0,23.0,4.0,7.0,Hit
Mela,28.0,15.0,24.0,3.0,16.0,Flop
Zanjeer,22.0,15.0,20.0,2.0,45.0,Disaster
Haseena Maan Jaayegi,26.0,14.0,24.0,1.0,9.0,Hit
Baadshah,31.0,14.0,24.0,7.0,10.0,Above Average
Koyla,27.0,14.0,25.0,2.0,12.0,Average
Jhund,23.0,14.0,17.0,5.0,1.0,Average
Freaky Ali,21.0,14.0,19.0,1.0,18.0,Flop
Hamara Dil Aapke Paas Hai,29.0,14.0,23.0,5.0,8.0,Hit
Fiza,31.0,14.0,23.0,7.0,5.0,Hit
Gulaab Gang,22.0,14.0,19.0,3.0,27.0,Flop
Khiladiyon Ka Khiladi,25.0,14.0,19.0,5.0,6.0,SuperHit
Maine Pyar Kiya,27.0,14.0,23.0,4.0,4.0,All Time Blockbuster
Bhoot,21.0,14.0,20.0,1.0,6.0,Hit
Humko Deewana Kar Gaye,27.0,14.0,19.0,8.0,17.0,Flop
Yuva,23.0,14.0,19.0,3.0,11.0,Below Average
Teraa Surroor,20.0,14.0,18.0,1.0,15.0,Average
Dhadkan,26.0,14.0,18.0,7.0,9.0,Average
Hindustan Ki Kasam,26.0,13.0,18.0,7.0,12.0,Average
Bewakoofiyaan,21.0,13.0,18.0,3.0,19.0,Flop
Judaai,27.0,13.0,24.0,3.0,6.0,SuperHit
Hum Tumhare Hain Sanam,31.0,13.0,18.0,12.0,12.0,Average
Ant-Man and the Wasp: Quantumania,3890.0,13.0,55.0,2155.0,1500.0,Average
Dhan Dhana Dhan Goal,21.0,13.0,18.0,2.0,18.0,Flop
Great Grand Masti,20.0,13.0,18.0,1.0,38.0,Disaster
Company,23.0,13.0,21.0,2.0,8.0,Above Average
Chup Chup Ke,24.0,13.0,18.0,6.0,10.0,Average
Deewana Mastana,24.0,13.0,23.0,1.0,7.0,Hit
Ghulam,23.0,13.0,21.0,1.0,7.0,Hit
India's Most Wanted,18.0,13.0,15.0,2.0,30.0,Disaster
Bbuddah...Hoga Terra Baap,21.0,13.0,17.0,3.0,20.0,Flop
Judwaa,23.0,13.0,17.0,5.0,6.0,Hit
Paheli,31.0,13.0,18.0,13.0,14.0,Below Average
Major Saab,22.0,12.0,20.0,1.0,8.0,Hit
Major,58.0,12.0,45.0,13.0,30.0,SuperHit
Ujda Chaman,16.0,12.0,15.0,1.0,20.0,Flop
Mujhse Dosti Karoge!,32.0,12.0,20.0,12.0,11.0,Below Average
Halla Bol,19.0,12.0,17.0,2.0,20.0,Flop
Kyon Ki,22.0,12.0,17.0,5.0,20.0,Flop
God Tussi Great Ho,20.0,12.0,17.0,3.0,21.0,Flop
Heroes,23.0,12.0,16.0,6.0,18.0,Flop
Hungama,18.0,12.0,17.0,1.0,6.0,Above Average
Hera Pheri,21.0,12.0,16.0,4.0,7.0,Hit
Made In China,16.0,12.0,14.0,1.0,25.0,Flop
Kya Kehna,21.0,12.0,19.0,1.0,4.0,SuperHit
Mohra,22.0,12.0,16.0,6.0,3.0,Blockbuster
Paan Singh Tomar,17.0,11.0,16.0,1.0,7.0,Average
Yamla Pagla Deewana Phir Se,17.0,11.0,14.0,2.0,30.0,Disaster
Fanney Khan,19.0,11.0,14.0,4.0,18.0,Flop
Pyare Mohan,18.0,11.0,15.0,2.0,12.0,Flop
Chup,19.0,11.0,13.0,5.0,25.0,Flop
Ek Aur Ek Gyarah,19.0,11.0,16.0,3.0,8.0,Below Average
Ab Tumhare Hawale Watan Saathiyo,19.0,11.0,15.0,3.0,20.0,Flop
Bobby Jasoos,20.0,11.0,15.0,4.0,24.0,Flop
Chal Mere Bhai,21.0,11.0,18.0,2.0,13.0,Flop
Loveyatri,18.0,11.0,15.0,2.0,22.0,Flop
Asoka,27.0,11.0,19.0,8.0,12.0,Below Average
Arjun Pandit,31.0,11.0,24.0,7.0,9.0,Average
Deewangee,17.0,11.0,15.0,1.0,9.0,Average
An Action Hero,16.0,11.0,13.0,3.0,30.0,Flop
Daag: The Fire,20.0,11.0,18.0,1.0,6.0,Hit
Virasat,20.0,11.0,19.0,1.0,5.0,Hit
Yes Boss,22.0,11.0,19.0,3.0,5.0,Hit
Hadh Kar Di Aapne,19.0,11.0,17.0,1.0,7.0,Above Average
Sye Raa Narasimha Reddy,246.0,11.0,216.0,30.0,275.0,Below Average
Kurukshetra,18.0,11.0,17.0,1.0,8.0,Average
Why Cheat India,14.0,10.0,13.0,1.0,25.0,Disaster
Darr,21.0,10.0,19.0,1.0,3.0,Blockbuster
Zameen,16.0,10.0,15.0,1.0,10.0,Below Average
Jaani Dushman: Ek Anokhi Kahani,19.0,10.0,14.0,4.0,18.0,Flop
Jhootha Hi Sahi,16.0,10.0,14.0,2.0,35.0,Disaster
Table No. 21,17.0,10.0,14.0,3.0,8.0,Below Average
Jaanwar,18.0,10.0,14.0,4.0,6.0,Hit
Dil Se..,24.0,10.0,14.0,9.0,8.0,Hit
Kunwara,19.0,10.0,18.0,1.0,9.0,Below Average
Phir Bhi Dil Hai Hindustani,24.0,10.0,17.0,7.0,13.0,Flop
Nayak: The Real Hero,19.0,10.0,17.0,2.0,20.0,Flop
Tumko Na Bhool Paayenge,19.0,10.0,17.0,2.0,12.0,Flop
Rock On 2,17.0,10.0,14.0,3.0,40.0,Disaster
John Wick: Chapter 4,3050.0,10.0,61.0,1635.0,900.0,Hit
Hello Brother,20.0,10.0,17.0,2.0,9.0,Below Average
Gangaajal,16.0,10.0,14.0,2.0,7.0,Average
Albela,18.0,10.0,17.0,1.0,10.0,Below Average
Paltan,14.0,10.0,13.0,1.0,25.0,Flop
Bheja Fry 2,17.0,10.0,13.0,3.0,9.0,Average
Vikram,414.0,10.0,289.0,125.0,120.0,All Time Blockbuster
Firangi,16.0,10.0,13.0,2.0,25.0,Flop
Shaadi Se Pehle,15.0,10.0,13.0,2.0,10.0,Flop
Fida,16.0,10.0,15.0,1.0,10.0,Below Average
Tera Jadoo Chal Gayaa,18.0,9.0,16.0,2.0,8.0,Average
Sabse Bada Khiladi,16.0,9.0,12.0,3.0,4.0,Hit
Aap Mujhe Achche Lagne Lage,19.0,9.0,14.0,4.0,10.0,Flop
Aan: Men at Work,14.0,9.0,12.0,1.0,15.0,Disaster
Sanam Teri Kasam,15.0,9.0,12.0,2.0,18.0,Flop
Diljale,15.0,9.0,12.0,3.0,5.0,Hit
Anek,9.0,9.0,10.0,1.0,1.0,Disaster
Pyar ka Punchnama,17.0,9.0,12.0,5.0,9.0,Average
Pal Pal Dil Ke Paas,12.0,9.0,10.0,2.0,30.0,Disaster
Drona,18.0,8.0,13.0,4.0,35.0,Disaster
Haan Maine Bhi Pyaar Kiya,19.0,8.0,12.0,7.0,11.0,Flop
Bhai,14.0,8.0,13.0,1.0,5.0,Hit
International Khiladi,16.0,8.0,11.0,4.0,7.0,Average
Dil Kya Kare,18.0,8.0,14.0,4.0,9.0,Flop
Banjo,13.0,8.0,11.0,1.0,20.0,Flop
Arjun Patiala,12.0,8.0,10.0,2.0,25.0,Disaster
Guddu Rangeela,13.0,8.0,11.0,1.0,15.0,Disaster
Dosti: Friends Forever,22.0,8.0,11.0,10.0,15.0,Flop
Luv Shuv Tey Chicken Khurana,12.0,8.0,11.0,1.0,11.0,Flop
Ghayal,20.0,8.0,16.0,4.0,2.0,Blockbuster
Godfather,107.0,8.0,87.0,20.0,100.0,Flop
Trimurti,14.0,8.0,13.0,1.0,10.0,Flop
Dhaai Akshar Prem Ke,16.0,8.0,12.0,3.0,8.0,Flop
Shikara,11.0,8.0,10.0,1.0,25.0,Flop
Sita Ramam,94.0,8.0,77.0,17.0,25.0,Blockbuster
Mere Yaar Ki Shaadi Hai,15.0,8.0,12.0,2.0,5.0,Above Average
Welcome 2 Karachi,13.0,8.0,11.0,2.0,25.0,Disaster
Varisu,297.0,7.0,208.0,89.0,200.0,SuperHit
Tango Charlie,12.0,7.0,11.0,1.0,14.0,Flop
Main Khiladi Tu Anari,13.0,7.0,10.0,3.0,3.0,Hit
Talaash: The Hunt Begins...,14.0,7.0,10.0,4.0,9.0,Flop
Ram Gopal Varma Ki Aag,13.0,7.0,11.0,2.0,20.0,Disaster
Yeh Raaste Hain Pyaar Ke,14.0,7.0,12.0,2.0,8.0,Below Average
Dus Kahaniyaan,12.0,7.0,10.0,2.0,20.0,Disaster
777 Charlie,102.0,7.0,96.0,5.0,15.0,Blockbuster
Main Aurr Mrs Khanna,14.0,7.0,9.0,4.0,28.0,Disaster
Godzilla vs. Kong,2500.0,7.0,55.0,1900.0,1300.0,Hit
Aap Ki Khatir,14.0,7.0,11.0,3.0,15.0,Flop
Raman Raghav 2.0,10.0,7.0,9.0,1.0,10.0,Flop
Dil,17.0,7.0,12.0,5.0,2.0,Blockbuster
Khamoshi: The Musical,14.0,6.0,11.0,2.0,6.0,Flop
Goodbye,10.0,6.0,8.0,2.0,25.0,Flop
Prassthanam,10.0,6.0,8.0,2.0,40.0,Disaster
Sapoot,12.0,6.0,10.0,2.0,5.0,Average
Jeena Sirf Merre Liye,12.0,6.0,10.0,1.0,8.0,Flop
Deewane,12.0,6.0,10.0,1.0,8.0,Flop
Armaan,13.0,6.0,9.0,4.0,8.0,Flop
Dil Ne Jise Apna Kahaa,12.0,6.0,9.0,3.0,10.0,Flop
Kahin Pyaar Na Ho Jaaye,13.0,6.0,11.0,2.0,8.0,Flop
Sooryavansham,12.0,6.0,11.0,1.0,7.0,Flop
Vijaypath,11.0,6.0,8.0,2.0,2.0,SuperHit
Blank,8.0,6.0,7.0,1.0,30.0,Disaster
Chef,10.0,6.0,8.0,1.0,13.0,Disaster
Dilwale,12.0,6.0,8.0,3.0,2.0,SuperHit
Tezaab,16.0,6.0,11.0,5.0,1.0,Blockbuster
Top Gun: Maverick,12250.0,5.0,51.0,12199.0,1300.0,Hit
Sangharsh,10.0,5.0,7.0,2.0,4.0,Average
Jung,10.0,5.0,9.0,1.0,4.0,Above Average
Rudraksh,9.0,5.0,8.0,1.0,15.0,Disaster
Kuttey,8.0,5.0,6.0,1.0,50.0,Disaster
Khiladi 420,10.0,5.0,7.0,2.0,8.0,Flop
Aarzoo,11.0,5.0,7.0,4.0,8.0,Flop
Aflatoon,9.0,5.0,7.0,2.0,4.0,Below Average
Bobby,29.0,5.0,10.0,19.0,1.0,Blockbuster
Dil Ka Rishta,13.0,5.0,7.0,5.0,8.0,Flop
Rehnaa Hai Terre Dil Mein,10.0,5.0,8.0,1.0,5.0,Below Average
Yeh Hai Jalwa,9.0,5.0,7.0,1.0,7.0,Flop
Sirf Tum,10.0,5.0,9.0,1.0,2.0,Hit
Bangistan,8.0,5.0,7.0,1.0,25.0,Disaster
Hum Hain Rahi Pyar Ke,9.0,5.0,8.0,1.0,2.0,SuperHit
Lahu Ke Do Rang,9.0,5.0,6.0,2.0,5.0,Flop
Kyaa Dil Ne Kahaa,8.0,5.0,7.0,1.0,6.0,Below Average
Game Over,16.0,4.0,14.0,1.0,20.0,Below Average
The Zoya Factor,8.0,4.0,6.0,1.0,30.0,Disaster
Dasara,118.0,4.0,96.0,22.0,65.0,SuperHit
Helicopter Eela,7.0,4.0,5.0,1.0,15.0,Flop
Khiladi,7.0,4.0,6.0,1.0,2.0,SuperHit
Dil Hai Ke Manta Nahin,7.0,4.0,6.0,1.0,1.0,Hit
Jo Jeeta Wohi Sikander,6.0,3.0,5.0,1.0,2.0,Hit
Darbar,247.0,3.0,173.0,74.0,200.0,Below Average
Insaaf,6.0,3.0,5.0,1.0,3.0,Flop
Disco Dancer,100.0,3.0,6.0,94.0,2.0,Hit
Seeta Aur Geeta,16.0,3.0,6.0,10.0,1.0,Blockbuster
Buddha Mar Gaya,5.0,3.0,4.0,1.0,4.0,Flop
Chori Chori,5.0,3.0,4.0,1.0,6.0,Flop
The Batman,1900.0,2.0,43.0,900.0,1.0,Average
Angaaray,5.0,2.0,3.0,1.0,3.0,Flop
Qayamat Se Qayamat Tak,5.0,2.0,4.0,1.0,1.0,SuperHit
Master,223.0,2.0,178.0,44.0,135.0,Blockbuster
Uncharted,1100.0,2.0,10.0,670.0,900.0,Flop
Pailwaan,52.0,2.0,48.0,4.0,40.0,Average
